3000;Région;Wallonie;14,5;10,0;4,5;85,5;;234857;162298;72559;1388630;;1623487;;;;;;;;;;;;
20002;Province;Brabant Wallon;14,0;10,0;4,0;86,0;;24174;17237;6937;148075;;172249;;;;;;;;;;;;
25000;Arrondissement;Nivelles;14,0;10,0;4,0;86,0;;24174;17237;6937;148075;;172249;;;;;;;;;;;;
25005;Commune;Beauvechain;11,8;8,2;3,5;88,2;;337;236;101;2524;;2861;;;;;;;;;;;;
25014;Commune;Braine-l'Alleud;14,6;10,6;4,0;85,4;;2472;1793;679;14482;;16954;;;;;;;;;;;;
25015;Commune;Braine-le-Château;13,5;9,4;4,1;86,5;;576;400;176;3688;;4264;;;;;;;;;;;;
25018;Commune;Chaumont-Gistoux;12,5;8,5;3,9;87,5;;594;407;187;4172;;4766;;;;;;;;;;;;
25023;Commune;Court-Saint-Étienne;12,4;8,9;3,5;87,6;;541;389;152;3813;;4354;;;;;;;;;;;;
25031;Commune;Genappe;11,8;8,0;3,8;88,2;;764;517;247;5695;;6459;;;;;;;;;;;;
25037;Commune;Grez-Doiceau;12,4;8,4;4,0;87,6;;689;467;222;4881;;5570;;;;;;;;;;;;
25043;Commune;Incourt;11,3;7,5;3,8;88,7;;260;172;88;2033;;2293;;;;;;;;;;;;
25044;Commune;Ittre;12,9;8,6;4,3;87,1;;353;235;118;2387;;2740;;;;;;;;;;;;
25048;Commune;Jodoigne;13,5;9,8;3,7;86,5;;839;609;230;5376;;6215;;;;;;;;;;;;
25050;Commune;La Hulpe;16,8;11,5;5,3;83,2;;536;367;169;2646;;3182;;;;;;;;;;;;
25068;Commune;Mont-Saint-Guibert;11,0;7,7;3,2;89,0;;378;267;111;3071;;3449;;;;;;;;;;;;
25072;Commune;Nivelles;16,7;12,1;4,6;83,3;;2293;1661;632;11407;;13700;;;;;;;;;;;;
25084;Commune;Perwez;12,8;8,7;4,1;87,2;;514;349;165;3494;;4008;;;;;;;;;;;;
25091;Commune;Rixensart;16,3;11,8;4,5;83,7;;1553;1127;426;7987;;9540;;;;;;;;;;;;
25105;Commune;Tubize;13,8;9,7;4,1;86,2;;1554;1091;463;9727;;11281;;;;;;;;;;;;
25107;Commune;Villers-la-Ville;10,8;7,4;3,4;89,2;;474;324;150;3905;;4379;;;;;;;;;;;;
25110;Commune;Waterloo;17,1;13,1;4,0;82,9;;2141;1640;501;10361;;12502;;;;;;;;;;;;
25112;Commune;Wavre;15,9;11,6;4,3;84,1;;2424;1766;658;12845;;15269;;;;;;;;;;;;
25117;Commune;Chastre;11,8;8,3;3,4;88,2;;351;249;102;2635;;2986;;;;;;;;;;;;
25118;Commune;Hélécine;12,7;8,2;4,5;87,3;;199;129;70;1370;;1569;;;;;;;;;;;;
25119;Commune;Lasne;13,1;8,8;4,3;86,9;;741;500;241;4918;;5659;;;;;;;;;;;;
25120;Commune;Orp-Jauche;12,2;8,1;4,1;87,8;;444;296;148;3188;;3632;;;;;;;;;;;;
25121;Commune;Ottignies-Louvain-la-Neuve;13,6;10,1;3,5;86,4;;1989;1471;518;12640;;14629;;;;;;;;;;;;
25122;Commune;Ramillies;11,8;7,3;4,4;88,2;;302;188;114;2262;;2564;;;;;;;;;;;;
25123;Commune;Rebecq;12,2;8,4;3,8;87,8;;544;373;171;3899;;4443;;;;;;;;;;;;
25124;Commune;Walhain;10,5;7,2;3,3;89,5;;312;214;98;2669;;2981;;;;;;;;;;;;
50000;Province;Hainaut;14,5;10,2;4,3;85,5;;87417;61464;25953;513403;;600820;;;;;;;;;;;;
51000;Arrondissement;Ath;14,3;10,0;4,3;85,7;;8076;5654;2422;48385;;56461;;;;;;;;;;;;
51004;Commune;Ath;15,7;11,3;4,4;84,3;;2154;1545;609;11567;;13721;;;;;;;;;;;;
51008;Commune;Belœil;14,2;10,0;4,3;85,8;;887;621;266;5353;;6240;;;;;;;;;;;;
51009;Commune;Bernissart;13,1;9,3;3,8;86,9;;677;482;195;4506;;5183;;;;;;;;;;;;
51012;Commune;Brugelette;12,2;8,6;3,6;87,8;;201;142;59;1451;;1652;;;;;;;;;;;;
51014;Commune;Chièvres;12,7;8,8;3,9;87,3;;366;254;112;2518;;2884;;;;;;;;;;;;
51017;Commune;Ellezelles;15,6;10,4;5,1;84,4;;397;266;131;2154;;2551;;;;;;;;;;;;
51019;Commune;Flobecq;15,1;10,0;5,2;84,9;;225;148;77;1261;;1486;;;;;;;;;;;;
51065;Commune;Frasnes-lez-Anvaing;13,5;9,4;4,1;86,5;;684;476;208;4392;;5076;;;;;;;;;;;;
51067;Commune;Enghien;14,3;10,4;3,9;85,7;;884;641;243;5300;;6184;;;;;;;;;;;;
51068;Commune;Silly;13,3;8,9;4,4;86,7;;450;300;150;2922;;3372;;;;;;;;;;;;
51069;Commune;Lessines;14,2;9,6;4,6;85,8;;1151;779;372;6961;;8112;;;;;;;;;;;;
52000;Arrondissement;Charleroi;14,6;10,1;4,5;85,4;;25878;17938;7940;150976;;176854;;;;;;;;;;;;
52010;Commune;Chapelle-lez-Herlaimont;14,2;10,3;3,9;85,8;;929;672;257;5607;;6536;;;;;;;;;;;;
52011;Commune;Charleroi;14,9;10,2;4,7;85,1;;13731;9398;4333;78372;;92103;;;;;;;;;;;;
52012;Commune;Châtelet;15,3;10,8;4,5;84,7;;2434;1717;717;13431;;15865;;;;;;;;;;;;
52015;Commune;Courcelles;13,7;9,6;4,1;86,3;;1865;1301;564;11754;;13619;;;;;;;;;;;;
52018;Commune;Farciennes;13,5;9,3;4,2;86,5;;609;420;189;3904;;4513;;;;;;;;;;;;
52021;Commune;Fleurus;13,7;9,6;4,1;86,3;;1361;952;409;8599;;9960;;;;;;;;;;;;
52022;Commune;Fontaine-l'Évêque;13,9;10,0;3,9;86,1;;1111;797;314;6854;;7965;;;;;;;;;;;;
52025;Commune;Gerpinnes;14,9;10,4;4,4;85,1;;842;591;251;4819;;5661;;;;;;;;;;;;
52048;Commune;Montigny-le-Tilleul;17,3;12,5;4,7;82,7;;790;574;216;3785;;4575;;;;;;;;;;;;
52055;Commune;Pont-à-Celles;12,7;8,7;4,0;87,3;;925;632;293;6363;;7288;;;;;;;;;;;;
52074;Commune;Aiseau-Presles;14,6;10,2;4,4;85,4;;689;480;209;4038;;4727;;;;;;;;;;;;
52075;Commune;Les Bons Villers;14,6;10,0;4,7;85,4;;592;404;188;3450;;4042;;;;;;;;;;;;
53000;Arrondissement;Mons;14,3;10,2;4,1;85,7;;17048;12165;4883;102045;;119093;;;;;;;;;;;;
53014;Commune;Boussu;13,7;10,2;3,5;86,3;;1220;909;311;7678;;8898;;;;;;;;;;;;
53020;Commune;Dour;14,0;10,0;4,0;86,0;;1028;737;291;6311;;7339;;;;;;;;;;;;
53028;Commune;Frameries;15,6;11,5;4,1;84,4;;1547;1140;407;8379;;9926;;;;;;;;;;;;
53039;Commune;Hensies;15,0;10,8;4,2;85,0;;445;321;124;2528;;2973;;;;;;;;;;;;
53044;Commune;Jurbise;12,5;8,8;3,8;87,5;;571;400;171;3979;;4550;;;;;;;;;;;;
53046;Commune;Lens;12,6;9,2;3,3;87,4;;246;181;65;1713;;1959;;;;;;;;;;;;
53053;Commune;Mons;14,2;10,1;4,1;85,8;;6569;4674;1895;39831;;46400;;;;;;;;;;;;
53065;Commune;Quaregnon;14,3;10,4;3,9;85,7;;1187;866;321;7136;;8323;;;;;;;;;;;;
53068;Commune;Quiévrain;14,5;10,0;4,5;85,5;;453;312;141;2672;;3125;;;;;;;;;;;;
53070;Commune;Saint-Ghislain;16,1;11,3;4,8;83,9;;1744;1222;522;9100;;10844;;;;;;;;;;;;
53082;Commune;Colfontaine;14,1;9,8;4,3;85,9;;1270;882;388;7761;;9031;;;;;;;;;;;;
53083;Commune;Honnelles;13,8;8,8;5,0;86,2;;315;201;114;1964;;2279;;;;;;;;;;;;
53084;Commune;Quévy;13,1;9,3;3,9;86,9;;453;320;133;2993;;3446;;;;;;;;;;;;
55000;Arrondissement;Soignies;13,5;9,5;4,0;86,5;;6084;4293;1791;38879;;44963;;;;;;;;;;;;
55004;Commune;Braine-Le-Comte;12,9;9,0;3,9;87,1;;1246;870;376;8396;;9642;;;;;;;;;;;;
55035;Commune;Le Rœulx;13,9;10,1;3,8;86,1;;522;378;144;3225;;3747;;;;;;;;;;;;
55040;Commune;Soignies;13,6;10,0;3,6;86,4;;1625;1193;432;10335;;11960;;;;;;;;;;;;
55050;Commune;Écaussinnes;13,3;9,2;4,2;86,7;;640;440;200;4157;;4797;;;;;;;;;;;;
55085;Commune;Seneffe;13,8;9,2;4,6;86,2;;673;448;225;4198;;4871;;;;;;;;;;;;
55086;Commune;Manage;13,9;9,7;4,2;86,1;;1378;964;414;8568;;9946;;;;;;;;;;;;
56000;Arrondissement;Thuin;15,1;10,4;4,8;84,9;;6217;4259;1958;34829;;41046;;;;;;;;;;;;
56001;Commune;Anderlues;13,5;9,5;4,0;86,5;;734;517;217;4689;;5423;;;;;;;;;;;;
56005;Commune;Beaumont;15,0;9,9;5,1;85,0;;477;316;161;2700;;3177;;;;;;;;;;;;
56016;Commune;Chimay;17,9;12,0;5,8;82,1;;805;542;263;3695;;4500;;;;;;;;;;;;
56022;Commune;Erquelinnes;15,8;11,1;4,6;84,2;;704;498;206;3765;;4469;;;;;;;;;;;;
56029;Commune;Froidchapelle;15,6;10,2;5,4;84,4;;295;193;102;1596;;1891;;;;;;;;;;;;
56044;Commune;Lobbes;13,4;9,2;4,3;86,6;;340;232;108;2189;;2529;;;;;;;;;;;;
56049;Commune;Merbes-le-Château;13,4;9,2;4,1;86,6;;242;167;75;1570;;1812;;;;;;;;;;;;
56051;Commune;Momignies;16,8;11,4;5,4;83,2;;384;261;123;1907;;2291;;;;;;;;;;;;
56078;Commune;Thuin;15,9;11,2;4,7;84,1;;1090;769;321;5752;;6842;;;;;;;;;;;;
56086;Commune;Ham-sur-Heure-Nalinnes;14,0;9,6;4,4;86,0;;834;574;260;5116;;5950;;;;;;;;;;;;
56088;Commune;Sivry-Rance;14,4;8,8;5,6;85,6;;312;190;122;1850;;2162;;;;;;;;;;;;
57000;Arrondissement;Tournai-Mouscron;15,0;10,7;4,3;85,0;;14990;10666;4324;84892;;99882;;;;;;;;;;;;
